OBJECTID,Name,Lat,Long,Station 1,Station 1 Dist,Station 2,Station 2 Dist,Station 3,Station 3 Dist,Station 4,Station 4 Dist,Station 5,Station 5 Dist
1,Indian Street Cravings,42.3505341,-71.075124,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654
2,Moyzilla,42.3505341,-71.075124,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654
3,Hungry Nomads,42.3505341,-71.075124,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654
4,Chicken and Rice Guys ,42.3505341,-71.075124,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654
5,Tacos Calleteco,42.3505341,-71.075124,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654
6,Hungry Nomads,42.3505341,-71.075124,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654
7,Indian Street Cravings,42.3605809,-71.057741,D32009,0.02554652179193965,B32008,0.1847238083601862,B32032,0.18893590962524737,D32057,0.20571836713275282,D32010,0.28351862359938046
8,Chick-fil-A,42.3778336,-71.051037,D32023,0.18258563106331635,D32039,0.5161532913048931,D32037,0.8354001349999223,A32036,0.9658656859182047,A32033,0.968087229081352
9,Chick-fil-A,42.3778336,-71.051037,D32023,0.18258563106331635,D32039,0.5161532913048931,D32037,0.8354001349999223,A32036,0.9658656859182047,A32033,0.968087229081352
10,Indian Street Cravings,42.3404783,-71.088974,B32062,0.19011129733834783,Z32997,0.37243111858690375,B32005,0.43903932063799195,C32063,0.4720298648475346,B32002,0.4772968049928516
11,Indian Street Cravings,42.3404783,-71.088974,B32062,0.19011129733834783,Z32997,0.37243111858690375,B32005,0.43903932063799195,C32063,0.4720298648475346,B32002,0.4772968049928516
12,Zinnekens,42.3493844,-71.102356,B32060,0.1308844244060354,D32032,0.1471942888302187,B32058,0.2895390913721489,A32008,0.33995648353703006,B32037,0.4183612912582113
13,Zinnekens,42.3493844,-71.102356,B32060,0.1308844244060354,D32032,0.1471942888302187,B32058,0.2895390913721489,A32008,0.33995648353703006,B32037,0.4183612912582113
14,Zinnekens,42.3493844,-71.102356,B32060,0.1308844244060354,D32032,0.1471942888302187,B32058,0.2895390913721489,A32008,0.33995648353703006,B32037,0.4183612912582113
15,Zinnekens,42.3493844,-71.102356,B32060,0.1308844244060354,D32032,0.1471942888302187,B32058,0.2895390913721489,A32008,0.33995648353703006,B32037,0.4183612912582113
16,Zaaki,42.3493844,-71.102356,B32060,0.1308844244060354,D32032,0.1471942888302187,B32058,0.2895390913721489,A32008,0.33995648353703006,B32037,0.4183612912582113
17,Zaaki,42.3493844,-71.102356,B32060,0.1308844244060354,D32032,0.1471942888302187,B32058,0.2895390913721489,A32008,0.33995648353703006,B32037,0.4183612912582113
18,Tacos Calleteco,42.3528306,-71.045234,A32000,0.08275584682953616,C32034,0.14331998722684952,B32007,0.1661886297315025,C32036,0.24525146690179064,C32107,0.2947539291184427
19,Indian Street Food Cravings,42.3528306,-71.045234,A32000,0.08275584682953616,C32034,0.14331998722684952,B32007,0.1661886297315025,C32036,0.24525146690179064,C32107,0.2947539291184427
20,Tacos Calleteco,42.3442968,-71.052403,C32024,0.02450391396854864,C32009,0.41079908723122593,C32053,0.4843101099178337,C32029,0.5817180106312922,C32028,0.6926367575078315
21,Zaaki,42.3640521,-71.068371,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958
22,Bibim Box,42.3640521,-71.068371,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958
23,Bibim Box,42.3640521,-71.068371,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958
24,Chicken and RIce Guys,42.3640521,-71.068371,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958
25,Bon Me,42.3640521,-71.068371,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958
26,Lourdya Gourmet,42.3640521,-71.068371,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958
27,Hungry Nomads,42.3640521,-71.068371,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958
28,Indian Street Cravings,42.3640521,-71.068371,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958
29,Indian Street Cravings,42.3640521,-71.068371,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958
